ID;WL(nm);Abs.;%T
1;700;0.02098;95.2841
2;699;0.021036;95.2717
3;698;0.021109;95.2557
4;697;0.021316;95.2104
5;696;0.021481;95.1741
6;695;0.021684;95.1297
7;694;0.021652;95.1366
8;693;0.021913;95.0796
9;692;0.022053;95.0489
10;691;0.022038;95.0521
11;690;0.022362;94.9813
12;689;0.02253;94.9446
13;688;0.022683;94.9112
14;687;0.022917;94.86
15;686;0.023002;94.8415
16;685;0.023271;94.7827
17;684;0.02345;94.7437
18;683;0.023576;94.7161
19;682;0.023824;94.662
20;681;0.023938;94.6372
21;680;0.023919;94.6414
22;679;0.024133;94.5947
23;678;0.024207;94.5787
24;677;0.024523;94.5099
25;676;0.02482;94.4453
26;675;0.025147;94.3742
27;674;0.025419;94.315
28;673;0.025303;94.3402
29;672;0.025375;94.3246
30;671;0.025781;94.2365
31;670;0.025916;94.2071
32;669;0.026142;94.1582
33;668;0.026241;94.1368
34;667;0.026518;94.0767
35;666;0.026801;94.0155
36;665;0.02699;93.9744
37;664;0.027118;93.9469
38;663;0.027337;93.8995
39;662;0.027458;93.8733
40;661;0.027653;93.8311
41;660;0.028027;93.7504
42;659;0.028128;93.7286
43;658;0.028462;93.6565
44;657;0.028709;93.6032
45;656;0.02893;93.5556
46;655;0.029197;93.4981
47;654;0.029422;93.4498
48;653;0.029654;93.3999
49;652;0.029753;93.3785
50;651;0.02989;93.349
51;650;0.030137;93.2959
52;649;0.030361;93.2478
53;648;0.030594;93.1978
54;647;0.030959;93.1195
55;646;0.03128;93.0508
56;645;0.031596;92.9832
57;644;0.031657;92.9701
58;643;0.031932;92.9111
59;642;0.032169;92.8604
60;641;0.032545;92.7801
61;640;0.032405;92.81
62;639;0.0326;92.7684
63;638;0.032653;92.757
64;637;0.033131;92.6551
65;636;0.033455;92.586
66;635;0.033564;92.5628
67;634;0.033953;92.4799
68;633;0.03436;92.3931
69;632;0.034564;92.3498
70;631;0.034677;92.3257
71;630;0.03483;92.2933
72;629;0.035129;92.2297
73;628;0.035621;92.1253
74;627;0.035888;92.0686
75;626;0.036245;91.9931
76;625;0.036397;91.9608
77;624;0.036681;91.9008
78;623;0.036945;91.8448
79;622;0.037196;91.7918
80;621;0.037484;91.731
81;620;0.03785;91.6538
82;619;0.038321;91.5543
83;618;0.038613;91.4929
84;617;0.038773;91.4591
85;616;0.039067;91.3973
86;615;0.039284;91.3516
87;614;0.039555;91.2945
88;613;0.039897;91.2227
89;612;0.040029;91.1949
90;611;0.040507;91.0947
91;610;0.040926;91.0069
92;609;0.04115;90.96
93;608;0.041272;90.9344
94;607;0.041415;90.9045
95;606;0.041687;90.8476
96;605;0.041686;90.8477
97;604;0.041972;90.788
98;603;0.041995;90.783
99;602;0.042272;90.7253
100;601;0.042511;90.6753
101;600;0.042777;90.6198
102;599;0.042891;90.5959
103;598;0.043389;90.4922
104;597;0.043793;90.4081
105;596;0.044234;90.3162
106;595;0.045;90.1571
107;594;0.046016;89.9464
108;593;0.04657;89.8318
109;592;0.046914;89.7607
110;591;0.047504;89.6387
111;590;0.047906;89.5559
112;589;0.048131;89.5095
113;588;0.048511;89.4311
114;587;0.048964;89.338
115;586;0.04938;89.2524
116;585;0.049864;89.1531
117;584;0.050445;89.0339
118;583;0.051026;88.9148
119;582;0.051326;88.8533
120;581;0.051765;88.7637
121;580;0.052323;88.6497
122;579;0.052742;88.5642
123;578;0.053021;88.5073
124;577;0.053317;88.447
125;576;0.053801;88.3485
126;575;0.054454;88.2157
127;574;0.054677;88.1704
128;573;0.055186;88.0671
129;572;0.055587;87.9858
130;571;0.056246;87.8525
131;570;0.056731;87.7545
132;569;0.057189;87.6619
133;568;0.057621;87.5748
134;567;0.057914;87.5157
135;566;0.05835;87.4279
136;565;0.058791;87.3392
137;564;0.059372;87.2224
138;563;0.059939;87.1086
139;562;0.060584;86.9793
140;561;0.060933;86.9095
141;560;0.061438;86.8085
142;559;0.061938;86.7085
143;558;0.062338;86.6287
144;557;0.062734;86.5497
145;556;0.063399;86.4174
146;555;0.063938;86.3102
147;554;0.064561;86.1865
148;553;0.065158;86.0681
149;552;0.065656;85.9695
150;551;0.06599;85.9033
151;550;0.066541;85.7945
152;549;0.066827;85.738
153;548;0.0671;85.684
154;547;0.067321;85.6405
155;546;0.067801;85.5459
156;545;0.068317;85.4442
157;544;0.068729;85.3633
158;543;0.069292;85.2527
159;542;0.06977;85.1589
160;541;0.070396;85.0362
161;540;0.071203;84.8783
162;539;0.071637;84.7936
163;538;0.07226;84.672
164;537;0.072792;84.5684
165;536;0.073438;84.4426
166;535;0.074326;84.2702
167;534;0.075026;84.1345
168;533;0.075756;83.9931
